"X","classe","semaine_et_FB","delta_to_hours","mean_essai_sem","moy_norm_essai","entropie_essai_sem","entropie_norm_essai","sigma_essai_sem","solidite_essai_sem","solidite_norm_essai"
96,"1","data11FB1_2016_Evian",98.3713283333,20.6516437377,0.946955684615,0.55792532899,1.08082012811,18.7814138194,0.961128338715,1.03220768794
213,"3","data13FB1_2016_T3",39.6641608333,18.860927214,1.08141329825,0.458755465413,1.01890429024,13.2895092725,0.933439000523,1.00829326475
29,"1","data01FB1_2016_Evian",112.487064167,13.3390334676,0.56214479772,0.00541586256604,0.033980329767,6636.42771084,0.267342456413,0.461776284104
313,"3","data43FB1_2015_T3",125.919978889,17.4277175243,0.496363374286,0.0291061085758,0.446897641029,8973.94366197,0.3655139397,1.28131316132
50,"1","data10FB1_2016_Evian",77.0560327778,18.0269784158,0.855386100735,0.486448112931,0.999379598265,13.2220843477,0.929432625368,1.00150827741
195,"1","data22FB1_2016_Evian",110.5243825,17.645400847,1.01179800119,0.506387330878,0.999835376414,15.011675828,0.94317430231,1.00770970331
295,"3","data43FB1_2015_T3",50.9969780556,17.535044608,0.499420184985,0.0216175357711,0.331917463848,7946.31617647,0.322253751666,1.12966409334
295,"3","data43FB1_2015_T3",50.9969780556,17.535044608,0.499420184985,0.0216175357711,0.331917463848,7946.31617647,0.322253751666,1.12966409334
339,"3","data46FB1_2015_T3",63.3455211111,17.9663050235,0.61388306055,0.0254889696733,0.673770231699,7074.12832447,0.29650632267,1.09586472467
356,"3","data46FB1_2015_T3",133.0652375,23.7122359176,0.810213337609,0.0691326578993,1.82743859512,6863.13333333,0.298077052643,1.1016700227
291,"3","data43FB1_2015_T3",27.7642427778,21.3431419104,0.607879598789,0.0225768486501,0.346646834541,7648.35700758,0.312798142447,1.09651735056
158,"1","data21FB1_2016_Evian",63.1901175,17.6109686436,1.18377734525,0.461722214512,0.999186647829,18.0861557884,0.887554212343,0.972378106153
57,"1","data10FB1_2016_Evian",104.669832222,18.6029540858,0.882716337181,0.487735968984,1.00202542426,14.2831944265,0.929789623214,1.00189295973
118,"1","data14FB1_2016_Evian",19.89201,18.1586454891,1.08778110665,0.49476589983,1.09445725362,15.8054059582,0.939574869303,1.02555927313
99,"1","data11FB1_2016_Evian",110.173125,21.445826128,0.983371939837,0.535680882948,1.03772790094,19.1207499228,0.940732953051,1.01030398057
267,"3","data41FB1_2015_T3",104.769259722,12.832531937,0.842633787205,0.00576171047965,0.762611248934,7604.85651794,0.302408819538,0.987371672984
42,"1","data10FB1_2016_Evian",45.4762916667,18.4529583502,0.875598989814,0.469669352878,0.964908603239,13.9225360096,0.947545341431,1.02102559859
179,"1","data22FB1_2016_Evian",47.4728338889,18.5383007112,1.06299742169,0.479045805933,0.945850961286,16.8553476806,0.934746037062,0.998704745637
174,"1","data22FB1_2016_Evian",27.76899,19.9349319131,1.14308110302,0.489346791919,0.966189720913,19.1292395838,0.94621612682,1.01095966047
180,"1","data22FB1_2016_Evian",51.3975183333,18.4166539485,1.05602212243,0.473570585732,0.935040424537,17.3107526256,0.934706813504,0.998662838262
329,"3","data46FB1_2015_T3",23.8811952778,20.9459692426,0.715693944195,0.0223611967362,0.591091319073,6485.96462715,0.271335921224,1.00283684317
174,"1","data22FB1_2016_Evian",27.76899,19.9349319131,1.14308110302,0.489346791919,0.966189720913,19.1292395838,0.94621612682,1.01095966047
278,"3","data41FB1_2015_T3",148.127365833,15.8328575673,1.03964679766,0.012839055577,1.69935789785,7592.89788054,0.311469063733,1.01695357632
