;classe;semaine_et_FB;delta_to_hours;mean_essai_sem;moy_norm_essai;entropie_essai_sem;entropie_norm_essai;sigma_essai_sem;solidite_essai_sem;solidite_norm_essai
65;Evian;data10FB1_2016_Evian;136.257215556;18.3264510452;0.869596176262;0.481045178385;0.988279580785;13.8108393466;0.920284633317;0.991650876762
66;Evian;data10FB1_2016_Evian;140.192721667;17.4928615029;0.830042076193;0.463208067327;0.951634264648;12.4862943507;0.937031910139;1.0096968716
67;Evian;data10FB1_2016_Evian;144.131801944;20.2755966432;0.962083780913;0.482537654405;0.99134578671;12.1068858577;0.919525912171;0.9908333183
68;Evian;data10FB1_2016_Evian;148.103849722;19.3823218113;0.91969759407;0.466161871247;0.957702684477;14.8907982732;0.93333558432;1.00571390307
69;Evian;data10FB1_2016_Evian;152.044090278;21.6002787195;1.02494038449;0.462675249021;0.950539620161;13.6162939442;0.907551185994;0.977929975918
70;Evian;data10FB1_2016_Evian;155.955999167;19.2711928116;0.914424486205;0.480916784809;0.988015803588;15.1072245402;0.927859954703;0.999813649259
71;Evian;data11FB1_2016_Evian;0.0;21.8084584878;1.0;0.516205531781;1.0;21.0567487134;0.931138519838;1.0
72;Evian;data11FB1_2016_Evian;0.180017058377;21.8084584878;1.0;0.516205531781;1.0;21.0567487134;0.931138519838;1.0
73;Evian;data11FB1_2016_Evian;4.14453555556;21.948434139;1.00641841106;0.497206266666;0.963194379088;17.7443711146;0.932269723935;1.00121486124
74;Evian;data11FB1_2016_Evian;8.08150472222;19.9553666421;0.915028756077;0.499252022148;0.967157442938;15.5372242623;0.932552640844;1.00151870101
75;Evian;data11FB1_2016_Evian;12.0150744444;21.3060312918;0.976961819825;0.502328894843;0.973118000324;17.0498845304;0.934303254919;1.00339878011
76;Evian;data11FB1_2016_Evian;15.9415466667;20.2910387255;0.930420585975;0.504019039974;0.976392171224;16.2599433956;0.946560016139;1.01656197867
77;Evian;data11FB1_2016_Evian;19.88863;19.5781933181;0.897733937912;0.46983852181;0.910177231516;14.1624140811;0.933219203589;1.00223455878
78;Evian;data11FB1_2016_Evian;23.8167366667;20.4753866604;0.93887363345;0.510095213684;0.988163013138;16.6107462521;0.940967088117;1.01055543087
79;Evian;data11FB1_2016_Evian;27.7693327778;21.6892527287;0.994533966753;0.528285116295;1.02340072659;18.7163474443;0.937913923098;1.00727647189
80;Evian;data11FB1_2016_Evian;31.6969019444;22.9642251637;1.05299625723;0.538806633357;1.04378314486;20.188575881;0.953309250068;1.02381034589
81;Evian;data11FB1_2016_Evian;35.6420916667;21.6372740214;0.992150547158;0.523670103313;1.01446046404;19.0947540395;0.942536231539;1.01224061883
82;Evian;data11FB1_2016_Evian;42.1634625;19.2081300899;0.880765144435;0.511823228858;0.991510546374;16.2571353031;0.935399354685;1.00457594091
83;Evian;data11FB1_2016_Evian;46.0851797222;23.8724128328;1.09464008408;0.555075282064;1.07529898052;20.805227241;0.956805106005;1.02756473459
84;Evian;data11FB1_2016_Evian;51.1149775;22.1163393266;1.01411749661;0.539223566348;1.04459083282;20.5850600049;0.951669967525;1.02204983174
85;Evian;data11FB1_2016_Evian;55.0412327778;21.0995115723;0.967492112479;0.530202146798;1.02711442275;18.4640399242;0.941153877278;1.01075603385
86;Evian;data11FB1_2016_Evian;58.9920833333;21.4283819887;0.982572060315;0.53167894831;1.02997530165;19.3220898719;0.955238795887;1.02588258947
87;Evian;data11FB1_2016_Evian;62.9178166667;19.4155602532;0.890276599058;0.504675285941;0.977663459358;15.9121921357;0.934073507978;1.00315204245
88;Evian;data11FB1_2016_Evian;66.8563636111;20.915767832;0.959066769607;0.49675627077;0.962322641246;17.1951288237;0.94542827252;1.015346538
89;Evian;data11FB1_2016_Evian;70.7787005556;18.936707828;0.868319410958;0.489653886683;0.948563811383;15.8521313221;0.942378544081;1.01207126975
90;Evian;data11FB1_2016_Evian;74.7382044444;21.113199094;0.968119736926;0.520721075775;1.00874756994;17.7931636775;0.940060170893;1.00958144343
91;Evian;data11FB1_2016_Evian;78.6550530556;19.6174405425;0.899533571046;0.538450072992;1.04309241153;16.8061032382;0.953578666293;1.02409968654
92;Evian;data11FB1_2016_Evian;82.6157247222;22.0293081739;1.01012679031;0.546727414168;1.05912738339;18.8608386354;0.95165827127;1.0220372705
93;Evian;data11FB1_2016_Evian;86.5475608333;19.7531878034;0.905758094477;0.521136911659;1.00955313257;18.2676302804;0.929959822743;0.998734133462
94;Evian;data11FB1_2016_Evian;90.4805475;23.3214781444;1.0693776526;0.53999473586;1.04608475232;24.4698546784;0.948873034442;1.01904605408
95;Evian;data11FB1_2016_Evian;94.4096211111;22.3651025503;1.02552422781;0.534466298195;1.03537499172;19.3949959886;0.941111845058;1.01071089318
96;Evian;data11FB1_2016_Evian;98.3713283333;20.6516437377;0.946955684615;0.55792532899;1.08082012811;18.7814138194;0.961128338715;1.03220768794
97;Evian;data11FB1_2016_Evian;102.31735;20.6055109724;0.944840323488;0.545472352011;1.05669606083;19.6788432157;0.946135099559;1.01610563778
98;Evian;data11FB1_2016_Evian;106.224750278;21.950054895;1.00649272883;0.526330063984;1.01961337409;21.6412301652;0.936530300939;1.00579052524
99;Evian;data11FB1_2016_Evian;110.173125;21.445826128;0.983371939837;0.535680882948;1.03772790094;19.1207499228;0.940732953051;1.01030398057
100;Evian;data11FB1_2016_Evian;114.108089167;21.1436845505;0.969517609984;0.530589059839;1.02786395568;21.5643705062;0.946406826364;1.01639745988
101;Evian;data11FB1_2016_Evian;118.0143075;20.9306804935;0.959750571332;0.503368369216;0.975131683457;18.2321272257;0.931177388616;1.00004174328
102;Evian;data11FB1_2016_Evian;121.9950925;20.2027741262;0.926373321501;0.538292852628;1.04278784222;18.1105462775;0.95599139157;1.02669084266
103;Evian;data11FB1_2016_Evian;125.935879444;22.9160708257;1.05078819938;0.545442599691;1.05663842425;19.9814580273;0.956417744789;1.02714872644
104;Evian;data11FB1_2016_Evian;129.888352778;21.3921569654;0.980911006494;0.548486129492;1.06253438935;20.1113620283;0.942242254472;1.01192490097
105;Evian;data11FB1_2016_Evian;133.832519722;21.845842859;1.00171421429;0.551961316724;1.06926656679;19.5011392819;0.956119930624;1.02682888771
